user_id,signup_date,sent_message,has_hva,repeat_usage,sustained_usage,churned
user_00000,2024-02-08,True,True,False,False,True
user_00001,2024-01-21,True,True,True,False,True
user_00002,2024-02-05,True,False,False,False,True
user_00003,2024-02-22,False,False,False,False,True
user_00004,2024-02-13,False,False,False,False,True
user_00005,2024-01-02,True,True,True,False,True
user_00006,2024-02-13,True,True,True,True,False
user_00007,2024-02-29,True,True,False,False,True
user_00008,2024-02-20,True,False,False,False,True
user_00009,2024-02-26,True,False,False,False,True
user_00010,2024-01-21,True,True,False,False,True
user_00011,2024-01-14,False,False,False,False,True
user_00012,2024-01-09,True,True,True,False,True
user_00013,2024-02-13,True,True,False,False,True
user_00014,2024-02-05,True,False,False,False,True
user_00015,2024-01-06,True,True,True,False,True
user_00016,2024-02-13,False,False,False,False,True
user_00017,2024-02-05,True,False,False,False,True
user_00018,2024-01-08,True,True,False,False,True
user_00019,2024-01-21,True,True,False,False,True
user_00020,2024-01-26,False,False,False,False,True
user_00021,2024-02-29,True,True,False,False,True
user_00022,2024-01-01,True,True,True,True,False
user_00023,2024-01-11,True,False,False,False,True
user_00024,2024-02-04,True,True,True,True,False
user_00025,2024-01-07,False,False,False,False,True
user_00026,2024-01-12,True,True,True,True,False
user_00027,2024-02-04,True,True,False,False,True
user_00028,2024-02-04,True,False,False,False,True
user_00029,2024-01-01,True,True,True,True,False
user_00030,2024-01-15,True,True,True,True,False
user_00031,2024-02-08,True,True,False,False,True
user_00032,2024-02-06,True,True,False,False,True
user_00033,2024-02-05,False,False,False,False,True
user_00034,2024-01-07,True,True,False,False,True
user_00035,2024-02-14,True,True,True,True,False
user_00036,2024-01-20,False,False,False,False,True
user_00037,2024-01-11,True,True,True,False,True
user_00038,2024-01-01,True,True,False,False,True
user_00039,2024-02-10,True,True,False,False,True
user_00040,2024-02-06,True,True,True,True,False
user_00041,2024-02-01,True,False,False,False,True
user_00042,2024-02-18,True,True,True,False,True
user_00043,2024-01-03,True,True,True,False,True
user_00044,2024-01-02,True,True,True,False,True
user_00045,2024-01-02,True,True,False,False,True
user_00046,2024-02-24,True,False,False,False,True
user_00047,2024-02-28,True,False,False,False,True
user_00048,2024-01-05,True,False,False,False,True
user_00049,2024-01-11,False,False,False,False,True
user_00050,2024-01-16,False,False,False,False,True
user_00051,2024-02-29,True,False,False,False,True
user_00052,2024-01-03,True,False,False,False,True
user_00053,2024-01-19,True,False,False,False,True
user_00054,2024-01-20,True,True,False,False,True
user_00055,2024-02-08,False,False,False,False,True
user_00056,2024-01-01,True,False,False,False,True
user_00057,2024-02-19,False,False,False,False,True
user_00058,2024-01-30,True,True,True,False,True
user_00059,2024-02-21,True,True,True,False,True
user_00060,2024-02-06,False,False,False,False,True
user_00061,2024-02-24,True,True,False,False,True
user_00062,2024-01-03,False,False,False,False,True
user_00063,2024-02-23,True,False,False,False,True
user_00064,2024-01-11,False,False,False,False,True
user_00065,2024-02-05,False,False,False,False,True
user_00066,2024-01-20,True,True,False,False,True
user_00067,2024-01-25,True,True,False,False,True
user_00068,2024-02-23,True,False,False,False,True
user_00069,2024-02-05,True,True,True,False,True
user_00070,2024-01-08,False,False,False,False,True
user_00071,2024-01-17,True,True,False,False,True
user_00072,2024-01-22,True,True,False,False,True
user_00073,2024-02-14,True,False,False,False,True
user_00074,2024-01-27,True,True,False,False,True
user_00075,2024-02-02,True,False,False,False,True
user_00076,2024-01-19,True,False,False,False,True
user_00077,2024-01-17,False,False,False,False,True
user_00078,2024-01-30,False,False,False,False,True
user_00079,2024-02-22,False,False,False,False,True
user_00080,2024-02-29,True,False,False,False,True
user_00081,2024-02-18,True,True,False,False,True
user_00082,2024-02-21,True,True,False,False,True
user_00083,2024-01-03,True,True,False,False,True
user_00084,2024-02-27,False,False,False,False,True
user_00085,2024-02-15,True,False,False,False,True
user_00086,2024-01-22,True,True,True,True,False
user_00087,2024-02-09,True,False,False,False,True
user_00088,2024-02-17,True,True,True,True,False
user_00089,2024-01-24,False,False,False,False,True
user_00090,2024-02-27,True,False,False,False,True
user_00091,2024-01-20,True,False,False,False,True
user_00092,2024-01-16,True,False,False,False,True
user_00093,2024-01-15,True,True,False,False,True
user_00094,2024-01-22,True,True,False,False,True
user_00095,2024-01-22,True,True,True,False,True
user_00096,2024-02-23,True,True,False,False,True
user_00097,2024-02-29,True,False,False,False,True
user_00098,2024-01-04,False,False,False,False,True
user_00099,2024-02-01,True,True,False,False,True
user_00100,2024-02-21,True,False,False,False,True
user_00101,2024-02-11,True,False,False,False,True
user_00102,2024-01-19,True,True,True,False,True
user_00103,2024-01-23,True,False,False,False,True
user_00104,2024-01-01,True,True,True,False,True
user_00105,2024-02-17,True,False,False,False,True
user_00106,2024-01-01,False,False,False,False,True
user_00107,2024-02-08,True,True,False,False,True
user_00108,2024-01-03,True,True,False,False,True
user_00109,2024-02-26,True,True,True,True,False
user_00110,2024-02-21,True,True,False,False,True
user_00111,2024-01-21,True,True,True,True,False
user_00112,2024-01-10,False,False,False,False,True
user_00113,2024-02-05,True,True,False,False,True
user_00114,2024-02-27,True,True,False,False,True
user_00115,2024-01-16,True,False,False,False,True
user_00116,2024-02-18,False,False,False,False,True
user_00117,2024-02-01,False,False,False,False,True
user_00118,2024-01-24,True,True,True,False,True
user_00119,2024-02-12,False,False,False,False,True
user_00120,2024-01-03,False,False,False,False,True
user_00121,2024-02-09,False,False,False,False,True
user_00122,2024-02-13,True,True,True,True,False
user_00123,2024-02-19,True,True,True,False,True
user_00124,2024-01-26,True,True,True,False,True
user_00125,2024-02-19,True,False,False,False,True
user_00126,2024-02-05,True,False,False,False,True
user_00127,2024-02-05,True,False,False,False,True
user_00128,2024-02-04,False,False,False,False,True
user_00129,2024-02-17,True,True,False,False,True
user_00130,2024-01-23,False,False,False,False,True
user_00131,2024-02-06,True,False,False,False,True
user_00132,2024-01-23,True,True,False,False,True
user_00133,2024-01-20,False,False,False,False,True
user_00134,2024-01-22,True,True,True,False,True
user_00135,2024-01-19,True,True,False,False,True
user_00136,2024-02-21,True,False,False,False,True
user_00137,2024-02-22,True,False,False,False,True
user_00138,2024-02-21,True,False,False,False,True
user_00139,2024-01-23,True,True,False,False,True
user_00140,2024-02-27,True,True,True,False,True
user_00141,2024-02-12,True,False,False,False,True
user_00142,2024-01-09,True,False,False,False,True
user_00143,2024-02-07,True,False,False,False,True
user_00144,2024-02-11,True,False,False,False,True
user_00145,2024-01-02,True,True,False,False,True
user_00146,2024-02-17,False,False,False,False,True
user_00147,2024-01-22,False,False,False,False,True
user_00148,2024-01-07,False,False,False,False,True
user_00149,2024-01-04,True,False,False,False,True
user_00150,2024-01-19,True,True,True,False,True
user_00151,2024-02-08,True,True,True,False,True
user_00152,2024-01-20,True,True,False,False,True
user_00153,2024-01-01,True,True,True,False,True
user_00154,2024-01-25,False,False,False,False,True
user_00155,2024-02-07,True,False,False,False,True
